-899296.7832	816876.5046	545408	969742.6531	-469815.1033	484721	565917.2255	-65028	-903209.6537	-679044
-682752	581652.478	349080	-179606	-585654.0844	-431083.3726	-426851.5284	-272655	295134	614525.4879
910390	808695	-451597.3211	-925387.2766	770789.5339	-105771.6339	607939	-833938	803797.8338	-633581.5681
331379.8395	-172083.6272	-941645.0932	-988419.9871	212411	-429950.5841	-814186	-604249	103585	32630
841866	-247773.9182	-721489	187384	-888694.4809	-789497.9861	-897267.7309	778207	-812536	-247778
-341587	674944	-695444	647998	979196	-807711.8367	94299	-421270	-634163.4036	-263974.6097
704470	94533	742743.8391	581229	-97470.29472	-571899.9381	644065.5828	-780839	252006.9369	-33069.98102
-161989.4043	778934	806535	285756.424	-881373	-120721.4298	649707	-306204.2716	898158	-668190
154191	-529213	46375	-916294.52	-41361	730262.9555	-719249	680184	972586	-337116.6619
-290288.6665	-538202	222077	421176	-558407.0652	482702	698822	510139	-235385	-495636.423
